Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides WT_1	Peptides WT_2	Peptides WT_3	Peptides KO_1	Peptides KO_2	Peptides KO_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Razor + unique peptides KO_1	Razor + unique peptides KO_2	Razor + unique peptides KO_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Unique peptides KO_1	Unique peptides KO_2	Unique peptides KO_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type WT_1	Identification type WT_2	Identification type WT_3	Identification type KO_1	Identification type KO_2	Identification type KO_3	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Sequence coverage KO_1 [%]	Sequence coverage KO_2 [%]	Sequence coverage KO_3 [%]	Intensity	Intensity WT_1	Intensity WT_2	Intensity WT_3	Intensity WT_4	Intensity KO_1	Intensity KO_2	Intensity KO_3	Intensity KO_4	iBAQ	iBAQ WT_1	iBAQ WT_2	iBAQ WT_3	iBAQ KO_1	iBAQ KO_2	iBAQ KO_3	MS/MS count WT_1	MS/MS count WT_2	MS/MS count WT_3	MS/MS count KO_1	MS/MS count KO_2	MS/MS count KO_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	reshuffled	reshuffled (#1)
P17844	P17844	33	32	24	Probable ATP-dependent RNA helicase DDX5	DDX5	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	1	33	32	24	28	28	27	30	29	29	27	27	26	29	28	28	21	21	20	22	21	21	65.5	63.7	51.5	69.147	614	614	1.0	933	0.0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	57.5	56.2	52.4	59.1	53.7	53.6	3.4262E10	1.4209628396960642E9	3.5651730331243527E8	1.5180044918528013E9	2.456399702109152E7	1.5110937386097996E9	1.4888273095984054E9	1.5220619523134894E9	5.291919738647818E7	9.5172E8	3.3216E7	3.9177E7	4.1633E7	4.441E7	4.4384E7	4.2102E7	22	25	23	35	31	30	635	NA	NA	NA	1132	NA	1.0
P17858	P17858	22	18	17	ATP-dependent 6-phosphofructokinase, liver type	PFKL	ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6	1	22	18	17	13	16	14	17	17	17	9	12	11	13	14	13	8	11	10	12	13	12	41.3	35.8	34.6	85.018	780	780	1.0	316	0.0	85.216	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.6	27.4	20.3	30.1	28.5	27.2	3.2844E9	1.1218241970427187E8	4.8793404050347306E7	1.5715471333737215E8	8592241.658762075	1.4835156306748584E8	1.7799052060964116E8	6.753283334624186E7	1.893750154070424E7	8.0106E7	2215800.0	4609400.0	3648500.0	4155300.0	5080500.0	3004000.0	6	11	8	17	15	13	278	NA	NA	NA	1133	NA	1.0
P17931	P17931	6	6	6	Galectin-3	LGALS3	Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5	1	6	6	6	5	4	4	6	4	5	5	4	4	6	4	5	5	4	4	6	4	5	28.4	28.4	28.4	26.152	250	250	1.0	134	0.0	15.804	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.4	19.6	19.6	28.4	19.6	22.4	1.129E9	3.592987510300629E7	8089662.870853645	3.2755961937705655E7	7.107859609596479E8	5.5034547718130596E7	3.240641994310744E7	3.8659581997630626E7	6.391556379761066E8	1.0263E8	2687300.0	2787400.0	2829000.0	6398000.0	3821900.0	7802600.0	3	2	3	4	4	5	80	NA	NA	NA	1134	NA	1.0
P17980	P17980	20	20	19	26S protease regulatory subunit 6A	PSMC3	26S proteasome regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3	1	20	20	19	15	15	13	16	16	17	15	15	13	16	16	17	14	14	12	15	15	16	59.2	59.2	55.6	49.203	439	439	1.0	415	0.0	194.32	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.8	42.8	36.0	43.3	42.8	45.3	6.6087E9	3.649504947913157E8	9.106122628888106E7	2.371538758792907E8	6.923608483932334E8	2.9595361018513685E8	2.361922719002652E8	2.0653877381338832E8	7.00841243300196E8	2.4477E8	1.1053E7	1.3254E7	8462900.0	1.2149E7	9874800.0	1.1166E7	11	12	13	14	12	15	313	NA	NA	NA	1135	NA	1.0
P17987	P17987	31	31	31	T-complex protein 1 subunit alpha	TCP1	T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	1	31	31	31	23	22	26	26	27	26	23	22	26	26	27	26	23	22	26	26	27	26	75.9	75.9	75.9	60.343	556	556	1.0	766	0.0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	56.3	55.4	67.6	64.9	68.5	66.4	1.7318E10	7.766775394845887E8	1.7937241647474465E8	7.620859676538647E8	7.766775394845887E8	5.855040429936012E8	7.726992195284073E8	6.879842734294925E8	5.855040429936012E8	4.9481E8	1.8448E7	2.0248E7	2.128E7	1.7996E7	2.413E7	2.2743E7	29	29	29	32	38	34	734	NA	NA	NA	1136	NA	NA
P18031;REV__Q9Y3U8;REV__Q8IX04	P18031	20;1;1	20;1;1	20;1;1	Tyrosine-protein phosphatase non-receptor type 1	PTPN1	Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1	3	20	20	20	10	13	11	12	15	14	10	13	11	12	15	14	10	13	11	12	15	14	53.3	53.3	53.3	49.966	435	435;105;471	1.0	318	0.0	140.13	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.4	30.8	28.0	34.0	40.7	39.3	3.9937E9	1.6868943021600536E8	4.918313752137489E7	1.8259021246133158E8	1.6868943021600536E8	1.434511274940996E8	1.9745069616614452E8	1.1564828980242139E8	1.434511274940996E8	1.248E8	4279000.0	5978900.0	5446600.0	5094000.0	7144900.0	5959900.0	8	8	10	10	14	10	231	NA	NA	NA	1137	NA	NA
P18074	P18074	1	1	1	TFIIH basal transcription factor complex helicase XPD subunit	ERCC2	TFIIH basal transcription factor complex helicase XPD subunit OS=Homo sapiens GN=ERCC2 PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3.3	3.3	3.3	86.908	760	760	1.0	3	0.0093549	1.2996	NA	NA	NA	NA	NA	By MS/MS	0.0	0.0	0.0	0.0	0.0	3.3	1.4663E7	NA	NA	NA	1.157248104739703E9	NA	NA	1951554.3912414766	1.1096983351555254E9	318760.0	0.0	0.0	0.0	0.0	0.0	143490.0	0	0	0	0	0	1	1	NA	NA	NA	1138	NA	1.0
P18077	P18077	7	7	7	60S ribosomal protein L35a	RPL35A	60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2	1	7	7	7	6	6	6	7	6	6	6	6	6	7	6	6	6	6	6	7	6	6	50.0	50.0	50.0	12.538	110	110	1.0	286	0.0	10.189	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.8	41.8	41.8	50.0	41.8	41.8	1.2112E10	5.242867453076238E8	1.1932311692478709E8	5.1315224838075024E8	1.8282294149717304E8	6.61993024821688E8	5.1028283859756076E8	3.9804423767908335E8	1.4710005463733533E8	1.3458E9	4.813E7	5.234E7	5.5436E7	7.9854E7	6.2599E7	5.6605E7	5	3	3	5	6	3	86	NA	NA	NA	1139	NA	1.0
P18085	P18085	11	11	7	ADP-ribosylation factor 4	ARF4	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	1	11	11	7	10	8	10	9	9	7	10	8	10	9	9	7	6	5	7	6	6	5	80.0	80.0	51.1	20.511	180	180	1.0	261	0.0	67.167	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	64.4	58.9	80.0	64.4	63.3	45.6	8.1365E9	5.419009324072942E8	1.2383505109724289E8	5.582073710895313E8	NA	4.009240887909198E8	3.522461412772703E8	2.58569695456666E8	NA	6.7804E8	3.7188E7	4.0712E7	4.5102E7	3.6476E7	3.2608E7	2.9812E7	16	12	14	16	12	14	311	NA	NA	NA	1140	NA	1.0
P18124;F4KDI6	P18124	18;1	18;1	17;0	60S ribosomal protein L7	RPL7	60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1	2	18	18	17	17	16	16	17	18	17	17	16	16	17	18	17	16	15	15	16	17	16	59.3	59.3	56.9	29.225	248	248;945	1.0	646	0.0	114.25	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	56.9	53.2	52.8	53.6	59.3	53.6	2.5434E10	1.1412604855558777E9	2.866633611986324E8	1.2060336208539348E9	1.1412604855558777E9	1.1165547830336432E9	1.1742681234051054E9	1.2013610560200336E9	1.1165547830336432E9	1.5896E9	5.9809E7	7.0852E7	7.4193E7	7.421E7	7.9202E7	7.8199E7	18	15	13	14	12	15	327	NA	NA	NA	1141	NA	NA
P18206	P18206	19	19	19	Vinculin	VCL	Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4	1	19	19	19	6	7	4	13	13	9	6	7	4	13	13	9	6	7	4	13	13	9	23.9	23.9	23.9	123.8	1134	1134	1.0	234	0.0	79.264	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.1	7.2	5.1	18.1	16.8	11.6	1.5577E9	3.843056756723546E7	1.2082624930762919E7	2.3473140796372425E7	7226110.108517054	7.066679460476306E7	6.155671859406692E7	2.498418349511889E7	1.3674638103022052E7	1.8113E7	366670.0	532480.0	259250.0	1039100.0	920050.0	686850.0	5	2	2	12	11	6	204	NA	NA	NA	1142	NA	1.0
P18583	P18583	21	21	21	Protein SON	SON	Protein SON OS=Homo sapiens GN=SON PE=1 SV=4	1	21	21	21	6	8	8	12	11	12	6	8	8	12	11	12	6	8	8	12	11	12	12.5	12.5	12.5	263.83	2426	2426	1.0	253	0.0	38.893	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.1	4.0	4.5	6.3	6.0	6.2	2.2432E9	6.070630630436347E7	2.5076371181996386E7	7.152627898087206E7	6877664.33844077	7.068773415801159E7	8.060347257026522E7	6.08970821397576E7	NA	2.7356E7	599450.0	1168400.0	826760.0	1033800.0	1202600.0	1441800.0	5	6	6	10	11	8	201	NA	NA	NA	1143	NA	1.0
P18615	P18615	3	3	3	Negative elongation factor E	NELFE	Negative elongation factor E OS=Homo sapiens GN=NELFE PE=1 SV=3	1	3	3	3	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	10.5	10.5	10.5	43.239	380	380	1.0	26	0.0019239	1.92	By matching	By matching	By matching	By matching	By matching	By MS/MS	4.5	7.4	4.5	4.5	4.5	7.4	1.9226E8	8273893.954991632	3615883.902421895	1.2118261298688937E7	1.8906822328339878E8	7125017.280747548	8845003.870070394	2634453.753872876	2.5856972072489503E8	9613100.0	329730.0	687340.0	566030.0	439570.0	541820.0	441770.0	0	0	0	0	0	1	4	NA	NA	NA	1145	NA	1.0
P18669;P15259;Q8N0Y7	P18669	15;5;4	15;5;4	15;5;4	Phosphoglycerate mutase 1	PGAM1	Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2	3	15	15	15	13	13	13	15	15	15	13	13	13	15	15	15	13	13	13	15	15	15	76.4	76.4	76.4	28.804	254	254;253;254	1.0	886	0.0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	76.4	76.4	76.4	76.4	76.4	76.4	6.6075E10	2.9843000899163513E9	7.66836433817567E8	3.11790871900181E9	1.5075492302885095E7	3.0852031055051146E9	3.0295047478912234E9	3.8220123679893594E9	6333219.760859073	4.405E9	1.6904E8	2.0236E8	2.0692E8	2.1452E8	2.1348E8	2.1443E8	35	23	28	44	46	41	812	NA	NA	NA	1146	NA	1.0
P18754;Q5T7V8	P18754	16;1	16;1	16;1	Regulator of chromosome condensation	RCC1	Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1	2	16	16	16	10	10	11	13	13	12	10	10	11	13	13	12	10	10	11	13	13	12	59.6	59.6	59.6	44.969	421	421;394	1.0	265	0.0	228.94	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.1	33.0	39.4	51.3	51.3	46.6	3.9947E9	1.4530508976116934E8	4.419306850542563E7	1.7005870914104787E8	4.6737059295156443E8	1.7949553895957363E8	1.7794770602027345E8	1.1924133829624699E8	4.704715351615329E8	2.1025E8	6205300.0	9041500.0	8539000.0	1.0753E7	1.0864E7	1.0315E7	9	10	10	11	12	11	226	NA	NA	NA	1147	NA	1.0
P18858	P18858	5	5	5	DNA ligase 1	LIG1	DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1	1	5	5	5	2	2	2	3	2	1	2	2	2	3	2	1	2	2	2	3	2	1	7.6	7.6	7.6	101.73	919	919	1.0	51	0.0	14.962	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.8	2.8	2.8	4.6	2.8	1.5	2.906E8	1.2233277724732531E7	3239732.6483062548	1.2154377003220234E7	2.0158663553213265E9	1.3004027434563773E7	1.6727699065142889E7	681299.4492533673	2.0477950270349948E9	5283500.0	177820.0	224440.0	206780.0	293930.0	375250.0	52393.0	2	2	2	3	3	2	49	NA	NA	NA	1148	NA	1.0
P18859	P18859	4	4	4	ATP synthase-coupling factor 6, mitochondrial	ATP5J	ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=1 SV=1	1	4	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	3	3	3	4	4	46.3	46.3	46.3	12.587	108	108	1.0	79	0.0	135.79	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.3	28.7	32.4	39.8	46.3	46.3	1.5649E9	7.685908384652871E7	1.4622349604963163E7	6.696768064214722E7	7.685908384652871E7	4.383596641689381E7	6.866617528826971E7	3.652161839191529E7	4.383596641689381E7	2.2356E8	8939300.0	7944300.0	9076100.0	7675500.0	1.2258E7	1.1257E7	5	1	2	4	5	5	82	NA	NA	NA	1149	NA	NA
P18887	P18887	3	3	3	DNA repair protein XRCC1	XRCC1	DNA repair protein XRCC1 OS=Homo sapiens GN=XRCC1 PE=1 SV=2	1	3	3	3	1	2	2	2	3	2	1	2	2	2	3	2	1	2	2	2	3	2	4.6	4.6	4.6	69.476	633	633	1.0	50	4.5527E-4	2.4238	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	1.6	3.0	3.0	3.0	4.6	3.2	3.3757E8	6890778.547343011	2425160.1714735613	9703599.969638577	7.537440734426782E7	1.040752924868355E7	7381394.654367926	5155483.369815068	7.525601499671663E7	1.0549E7	171570.0	288050.0	283230.0	400920.0	282360.0	482760.0	0	1	1	0	1	1	21	NA	NA	NA	1150	NA	1.0
P19105	P19105	9	9	1	Myosin regulatory light chain 12A	MYL12A	Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2	1	9	9	1	7	7	7	9	8	7	7	7	7	9	8	7	0	0	0	1	0	0	80.1	80.1	17.5	19.794	171	171	1.0	322	0.0	323.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50.9	50.9	50.9	80.1	62.6	50.9	7.574E9	3.0274832024104786E8	9.333432632698223E7	3.484151688685825E8	3.105031476243766E8	3.4913917333244735E8	3.5621633166372937E8	2.7224912887927026E8	3.440955080125445E8	6.8854E8	2.2571E7	3.3416E7	3.0601E7	3.494E7	3.6293E7	3.4253E7	10	12	10	12	12	9	247	NA	NA	NA	1151	NA	1.0
P19256	P19256	2	2	2	Lymphocyte function-associated antigen 3	CD58	Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58 PE=1 SV=1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	7.2	7.2	7.2	28.147	250	250	1.0	39	0.0	6.6019	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	7.2	3.2	3.2	7.2	7.2	7.2	4.7144E8	2.328645255251413E7	1748265.420130334	7855401.6099627465	3.202162120901789E7	2.0252323944494143E7	1.8465891539490603E7	8345733.43721543	1.877853272736595E7	5.893E7	2364600.0	838010.0	926750.0	3269600.0	2971100.0	3013400.0	1	0	0	2	1	1	33	NA	NA	NA	1152	NA	1.0
P19338	P19338	30	30	30	Nucleolin	NCL	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	1	30	30	30	30	29	28	30	30	30	30	29	28	30	30	30	30	29	28	30	30	30	35.9	35.9	35.9	76.613	710	710	1.0	1214	0.0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.9	35.9	34.4	35.9	35.9	35.9	1.1292E11	4.71595816520081E9	1.1971338903104007E9	4.390767995260611E9	4.71595816520081E9	4.97504552879411E9	5.500336272104619E9	6.953210595956087E9	4.97504552879411E9	2.4549E9	8.7598E7	1.0298E8	9.5463E7	1.1189E8	1.2535E8	1.1421E8	42	26	36	44	44	40	815	NA	NA	NA	1153	NA	NA
P19367;Q2TB90	P19367	14;2	10;1	10;1	Hexokinase-1	HK1	Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3	2	14	10	10	2	3	4	5	5	5	0	0	1	1	2	2	0	0	1	1	2	2	17.2	13.1	13.1	102.48	917	917;917	1.0	68	0.0	15.738	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.1	2.8	4.1	5.0	5.2	5.5	2.8699E8	NA	NA	6002082.12206562	3.3779828918172225E7	6241967.357348322	4727560.254504805	1386665.600695368	3.7272167306944795E7	5627200.0	0.0	0.0	108060.0	141480.0	107870.0	96233.0	0	0	1	1	2	1	45	NA	NA	NA	1155	NA	1.0
P19387	P19387	5	5	5	DNA-directed RNA polymerase II subunit RPB3	POLR2C	DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens GN=POLR2C PE=1 SV=2	1	5	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	34.5	34.5	34.5	31.441	275	275	1.0	13	0.0	6.7059	NA	NA	By matching	NA	NA	By matching	0.0	0.0	3.3	0.0	0.0	6.5	1.6353E8	NA	NA	2.50131221187553E7	NA	NA	NA	1028335.5900226553	3717426.977063538	1.022E7	0.0	0.0	1459100.0	0.0	0.0	251770.0	0	0	0	0	0	0	8	NA	NA	NA	1156	NA	1.0
P19388;O81098	P19388	7;1	7;1	7;1	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=4	2	7	7	7	1	2	3	6	4	4	1	2	3	6	4	4	1	2	3	6	4	4	45.7	45.7	45.7	24.551	210	210;205	1.0	97	0.0	48.485	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.8	11.4	15.7	41.9	23.3	21.4	9.7568E8	6542881.445243593	4345940.032439825	2.8243895809729796E7	NA	4.133777565925601E7	3.222927889524022E7	2.1732078106500376E7	NA	7.5052E7	414140.0	1271300.0	2062700.0	4195600.0	3291200.0	4209000.0	0	1	1	4	6	4	80	NA	NA	NA	1157	NA	1.0
P19397	P19397	1	1	1	Leukocyte surface antigen CD53	CD53	Leukocyte surface antigen CD53 OS=Homo sapiens GN=CD53 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	24.341	219	219	1.0	21	0.0023266	1.8536	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.7	3.7	3.7	3.7	3.7	3.7	1.274E9	6.850810560384125E7	1.3443209278643472E7	6.130798985058202E7	4516216.664242936	5.0512455901918896E7	5.308279159060797E7	3.009369672925966E7	5134746.917323561	1.8201E8	7985900.0	7291200.0	8312700.0	8925800.0	9557200.0	9660400.0	1	1	1	1	1	1	21	NA	NA	NA	1158	NA	1.0
P19404	P19404	4	4	4	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2	1	4	4	4	2	2	2	3	2	3	2	2	2	3	2	3	2	2	2	3	2	3	21.3	21.3	21.3	27.391	249	249	1.0	57	0.0	18.633	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.2	9.2	9.2	13.7	9.2	13.7	4.4134E8	1.7829784798427384E7	2457175.3461372335	1.2933974345810467E7	NA	1.998828064102285E7	1.7356638053070605E7	6386897.707498158	5504254.607162776	2.7584E7	906830.0	588880.0	763670.0	1619200.0	1403000.0	1210300.0	1	1	1	2	2	3	49	NA	NA	NA	1159	NA	1.0
P19484	P19484	3	3	3	Transcription factor EB	TFEB	Transcription factor EB OS=Homo sapiens GN=TFEB PE=1 SV=3	1	3	3	3	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	9.7	9.7	9.7	52.864	476	476	1.0	17	0.0	4.9574	NA	NA	NA	NA	By matching	By matching	0.0	0.0	0.0	0.0	2.3	2.3	5.7734E7	2.129605823224404E8	4.88345643747954E7	2.942560250014376E8	NA	NA	2598985.94775197	677882.1766738078	NA	2886700.0	0.0	0.0	0.0	0.0	140180.0	124130.0	0	0	0	0	0	0	8	NA	NA	NA	1161	1.0	NA
P19525	P19525	21	21	21	Interferon-induced, double-stranded RNA-activated protein kinase	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2	1	21	21	21	15	15	17	18	17	18	15	15	17	18	17	18	15	15	17	18	17	18	45.2	45.2	45.2	62.094	551	551	1.0	435	0.0	142.4	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.2	30.1	33.8	39.9	33.2	36.8	5.2561E9	2.1311768818722415E8	5.426447737113439E7	2.579812538992261E8	1.1512680514961107E7	2.2008215230912098E8	1.9186283483909276E8	1.6236297148765698E8	1.2627446974553403E7	2.1024E8	6942600.0	8487200.0	9892100.0	9883600.0	8778900.0	9998800.0	15	15	12	21	20	20	401	NA	NA	NA	1162	NA	1.0
P19623	P19623	15	15	15	Spermidine synthase	SRM	Spermidine synthase OS=Homo sapiens GN=SRM PE=1 SV=1	1	15	15	15	11	11	11	12	13	12	11	11	11	12	13	12	11	11	11	12	13	12	80.8	80.8	80.8	33.824	302	302	1.0	291	0.0	98.143	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	54.6	53.3	54.6	58.9	66.9	60.3	3.5439E9	1.4755497407346472E8	4.1600243644769445E7	1.8170069568387488E8	3665605.292360931	1.4877772983958283E8	1.4388319499835417E8	1.0033892155355306E8	1.5148630894854994E7	2.215E8	7474400.0	1.0086E7	1.0819E7	1.0638E7	1.0484E7	1.0664E7	6	9	6	10	11	11	216	NA	NA	NA	1163	NA	1.0
P19784	P19784	10	9	9	Casein kinase II subunit alpha	CSNK2A2	Casein kinase II subunit alpha OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1	1	10	9	9	5	5	6	7	6	6	4	4	5	6	5	5	4	4	5	6	5	5	39.1	37.4	37.4	41.213	350	350	1.0	129	0.0	28.828	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.1	15.7	21.4	25.4	21.1	20.0	1.0395E9	4.4607491932897784E7	1.186753959487053E7	5.516903213061108E7	4.4607491932897784E7	5.0094547338725954E7	2.9898157018282954E7	1.563293008361642E7	5.0094547338725954E7	4.7251E7	1666900.0	2044500.0	2382200.0	2902400.0	1758700.0	1829300.0	4	3	4	8	6	4	120	NA	NA	NA	1164	NA	NA
P19838	P19838	20	20	20	Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit	NFKB1	Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens GN=NFKB1 PE=1 SV=2	1	20	20	20	11	10	12	13	13	12	11	10	12	13	13	12	11	10	12	13	13	12	23.7	23.7	23.7	105.35	968	968	1.0	313	0.0	112.32	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.0	14.3	14.4	17.5	17.5	15.6	2.4383E9	1.2069000814198641E8	2.3740364514795467E7	1.0759195258327423E8	1.2069000814198641E8	1.0200266089054742E8	1.0566562260385151E8	4.098902400105646E7	1.0200266089054742E8	4.4332E7	1772400.0	1657600.0	1854700.0	2185800.0	2308600.0	1518000.0	6	6	8	9	7	7	200	NA	NA	NA	1165	NA	NA
P19878	P19878	6	6	6	Neutrophil cytosol factor 2	NCF2	Neutrophil cytosol factor 2 OS=Homo sapiens GN=NCF2 PE=1 SV=2	1	6	6	6	1	1	2	3	3	3	1	1	2	3	3	3	1	1	2	3	3	3	17.3	17.3	17.3	59.761	526	526	1.0	57	0.0	26.857	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.9	1.9	4.0	8.0	8.0	8.0	2.4162E8	6439973.521733148	2046593.9890516142	1.2664396699808832E7	9.368014809361224E8	1.124774297183201E7	1.0086753576147722E7	2856178.9165118416	1.276484195843395E9	7106500.0	150830.0	228690.0	347790.0	407220.0	362680.0	277410.0	1	1	1	1	1	1	20	NA	NA	NA	1166	NA	1.0
P20020;P23634;Q16720	P20020	10;3;1	10;3;1	10;3;1	Plasma membrane calcium-transporting ATPase 1	ATP2B1	Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3	3	10	10	10	3	0	0	5	4	4	3	0	0	5	4	4	3	0	0	5	4	4	11.6	11.6	11.6	138.75	1258	1258;1241;1220	1.0	73	0.0	13.647	By matching	NA	NA	By MS/MS	By MS/MS	By MS/MS	3.3	0.0	0.0	5.5	4.3	5.1	4.5709E8	2.3959087152937118E7	NA	NA	6.815871784366609E7	1.978189103130124E7	1.1504743012326123E7	9090060.362564811	6.524167328581398E7	6925600.0	297240.0	0.0	0.0	393900.0	229740.0	399320.0	0	0	0	4	2	3	47	NA	NA	NA	1167	NA	1.0
P20023	P20023	12	12	12	Complement receptor type 2	CR2	Complement receptor type 2 OS=Homo sapiens GN=CR2 PE=1 SV=2	1	12	12	12	5	6	7	11	10	10	5	6	7	11	10	10	5	6	7	11	10	10	13.7	13.7	13.7	112.91	1033	1033	1.0	186	0.0	32.492	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.9	6.6	7.3	12.6	11.6	11.3	1.6706E9	5.2266355332561456E7	1.3989810253951343E7	6.405742879755734E7	5.2266355332561456E7	8.739422273521276E7	6.160635641835896E7	4.392959050021493E7	8.739422273521276E7	3.1521E7	802050.0	1004700.0	1146400.0	2012600.0	1446800.0	1727500.0	5	3	7	9	8	7	171	NA	NA	NA	1168	NA	NA
